05.03.2015	11.427,64	11.504,01	11.532,82	11.409,05
04.03.2015	11.317,24	11.390,38	11.390,38	11.193,30
03.03.2015	11.424,67	11.280,36	11.465,23	11.280,36
02.03.2015	11.408,28	11.410,36	11.455,08	11.362,88
27.02.2015	11.337,11	11.401,66	11.401,66	11.301,34
26.02.2015	11.206,66	11.327,19	11.330,63	11.187,00
25.02.2015	11.208,27	11.210,27	11.225,60	11.174,78
24.02.2015	11.128,17	11.205,74	11.228,37	11.090,73
23.02.2015	11.150,47	11.130,92	11.158,55	11.069,77
20.02.2015	10.976,77	11.050,64	11.081,81	10.946,90
19.02.2015	10.932,49	11.001,94	11.022,26	10.874,97
18.02.2015	10.931,72	10.961,00	10.980,98	10.909,60
17.02.2015	10.847,73	10.895,62	10.921,26	10.765,02
16.02.2015	10.946,88	10.923,23	10.963,49	10.909,49
13.02.2015	10.952,39	10.963,40	11.013,85	10.948,49
12.02.2015	10.746,91	10.919,65	10.955,45	10.746,91
11.02.2015	10.765,00	10.752,11	10.791,59	10.696,78
10.02.2015	10.675,59	10.753,83	10.797,46	10.594,32
09.02.2015	10.765,21	10.663,51	10.767,22	10.614,12
06.02.2015	10.866,20	10.846,39	10.877,67	10.802,89
05.02.2015	10.840,79	10.905,41	10.926,73	10.822,75
04.02.2015	10.892,50	10.911,32	10.912,24	10.803,10
03.02.2015	10.867,61	10.890,95	10.984,69	10.860,03
02.02.2015	10.719,18	10.828,01	10.828,01	10.677,39
30.01.2015	10.801,38	10.694,32	10.804,04	10.642,59
29.01.2015	10.666,43	10.737,87	10.743,57	10.607,72
28.01.2015	10.719,40	10.710,97	10.728,83	10.552,76
27.01.2015	10.785,90	10.628,58	10.810,57	10.592,46
26.01.2015	10.592,97	10.798,33	10.807,57	10.589,07
23.01.2015	10.503,33	10.649,58	10.704,32	10.502,85
22.01.2015	10.300,26	10.435,62	10.454,05	10.228,53
21.01.2015	10.270,33	10.299,23	10.311,90	10.149,77
20.01.2015	10.278,55	10.257,13	10.298,42	10.211,39
19.01.2015	10.231,58	10.242,35	10.293,04	10.191,98
16.01.2015	9.985,51	10.167,77	10.207,97	9.940,64
15.01.2015	9.933,45	10.032,61	10.063,18	9.637,33
14.01.2015	9.810,70	9.817,08	9.962,98	9.768,10
13.01.2015	9.759,57	9.941,00	9.978,94	9.755,02
12.01.2015	9.697,46	9.781,90	9.815,96	9.622,32
09.01.2015	9.813,99	9.648,50	9.860,18	9.601,75
08.01.2015	9.643,77	9.837,61	9.855,43	9.607,90
07.01.2015	9.510,34	9.518,18	9.592,37	9.459,18
06.01.2015	9.484,25	9.469,66	9.624,65	9.382,82
05.01.2015	9.735,65	9.473,16	9.790,27	9.468,58
02.01.2015	9.869,13	9.764,73	9.879,53	9.687,26
30.12.2014	9.883,10	9.805,55	9.886,78	9.805,55
29.12.2014	9.914,87	9.927,13	9.927,85	9.775,45
23.12.2014	9.887,24	9.922,11	9.922,11	9.848,06
22.12.2014	9.827,26	9.865,76	9.924,01	9.826,55
19.12.2014	9.901,26	9.786,96	9.901,26	9.688,66
18.12.2014	9.711,61	9.811,06	9.811,06	9.671,18
